packet_size_mean,packet_size_std,flow_rate,syn_ack_ratio,tcp_ratio,udp_ratio,ttl_mean,ttl_std,payload_length_mean,payload_length_std,unique_sources,unique_destinations,port_entropy,ip_entropy,label
531.6299802981875,156.77754429110695,38.443511170896755,0.15590414997253368,1.0,0.0,36.985768707263624,4.649066877588011,184.7572159104584,149.41963676711666,6.0,1.0,0.5124258373850142,2.0371237792452703,http_flood
949.915055352305,247.88368007039077,6.241347943368738,0.046210163317896936,0.7699296425558585,0.09153351374848948,43.01606432707843,4.083164253192284,795.1625485448184,92.52811539442357,7.0,2.0,3.9327884931356207,3.8695872903427535,normal
821.9334373873032,287.47658328681257,11.199155028444196,0.2915727130427713,0.8442455101549862,0.14705485911948157,58.14131432823245,3.3219280256904122,546.3512329637,96.10225336529615,8.0,5.0,2.677386540749872,2.1786130352596027,normal
678.6394786849662,126.93082810202525,67.78630448521531,0.22029775888821865,1.0,0.0,56.51859857800689,7.899922416337155,206.44510752060398,136.32502803107118,11.0,1.0,0.2639335512503309,2.857053296809922,http_flood
1186.810283917299,64.17471192100605,1.9325823689180999,0.09052351858324065,0.8723616677929936,0.10980705666581703,61.078764454741105,1.4826561848674507,747.056135314681,109.82035343958667,6.0,5.0,3.907797660802538,2.377400070488703,normal
665.340030405471,75.79465214033088,3.8779962661601637,0.05438920109067246,0.7941594626008789,0.33268565004216727,48.62300885010633,4.907741575298951,931.8962302679707,101.52313498575295,12.0,2.0,2.7347058888630684,3.447143611146812,normal
1306.4211342715118,202.56538943235375,17.998152581103575,0.15876037019566955,0.763779202418081,0.16651341296978622,48.171180466143895,4.978696093473513,917.8441333906841,169.3150300184334,7.0,8.0,3.934150897458336,3.05538689597339,normal
930.2922398284726,99.91729701176592,5.490025318194519,0.0004926382900403975,0.9657854663370669,0.19908658711792007,48.71079465044477,4.981051943805884,843.0752083397547,196.6691962625603,6.0,4.0,3.6283199898066494,2.7301697435924224,normal
795.6255849041488,251.26249825465288,1.2028703691773297,0.15897063461098457,0.6885501975308643,0.422203874895036,34.90509156677035,2.178283055201994,862.3756247365378,137.12402089128065,10.0,4.0,2.980613127229596,2.512311585962971,normal
901.7035755533035,279.2204511888476,9.263562965917874,0.05696472187306083,0.9009488460878382,0.06683918096533095,44.66326181365538,3.6377869346287275,733.1389762295203,175.75158450257112,9.0,6.0,3.95585642067263,3.553431698720024,normal
